Run will be saved under: ./run_outputs/run_2023-01-01_to_2023-03-31

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 39132582, isPK: False, prob: 0.000780856644269079>
<pmid: 38128272, isPK: False, prob: 0.0013739647110924125>
<pmid: 38116563, isPK: False, prob: 0.0007666419260203838>
<pmid: 38100453, isPK: False, prob: 0.004089186433702707>
<pmid: 38094673, isPK: True, prob: 0.9999833106994629>
<pmid: 38093819, isPK: False, prob: 0.001194460317492485>
<pmid: 38089964, isPK: True, prob: 0.999987006187439>
<pmid: 38089044, isPK: True, prob: 0.9999772310256958>
<pmid: 38084126, isPK: False, prob: 0.001223029918037355>
<pmid: 38083887, isPK: False, prob: 0.000901348830666393>
<pmid: 38078320, isPK: True, prob: 0.9999722242355347>
<pmid: 38074188, isPK: True, prob: 0.9999932050704956>
<pmid: 38074125, isPK: True, prob: 0.9999920129776001>
<pmid: 38074113, isPK: True, prob: 0.9999932050704956>
<pmid: 38062660, isPK: True, prob: 0.9999791383743286>
<pmid: 38058088, isPK: True, prob: 0.9975451827049255>
<pmid: 38053838, isPK: True, prob: 0.9999881982803345>
<pmid: 38045026, isPK: True, prob: 0.9999945163726807>
<pmid: 38039306, isPK: False, prob: 0.0019402852049097419>
<pmid: 38035024, isPK: False, prob: 0.0006570637924596667>
<pmid: 38033549, isPK: False, prob: 0.0015207453398033977>
<pmid: 38029470, isPK: True, prob: 0.9999935626983643>
<pmid: 38029229, isPK: False, prob: 0.002243514871224761>
<pmid: 38027109, isPK: False, prob: 0.0007550314767286181>
<pmid: 38027008, isPK: True, prob: 0.9999608993530273>
<pmid: 38026620, isPK: True, prob: 0.9998212456703186>
<pmid: 38025761, isPK: False, prob: 0.0010427396045997739>
<pmid: 38025145, isPK: True, prob: 0.9999864101409912>
<pmid: 38025070, isPK: False, prob: 0.0009055626578629017>
<pmid: 37994450, isPK: False, prob: 0.0013099868083372712>
<pmid: 37990750, isPK: False, prob: 0.001868371618911624>
<pmid: 37980648, isPK: False, prob: 0.0006935911951586604>
<pmid: 37974444, isPK: False, prob: 0.0009448081254959106>
<pmid: 37972144, isPK: False, prob: 0.0007596365758217871>
<pmid: 37957861, isPK: True, prob: 0.9921628832817078>
<pmid: 37954245, isPK: False, prob: 0.0013296884717419744>
<pmid: 37954237, isPK: True, prob: 0.9999911785125732>
<pmid: 37929285, isPK: True, prob: 0.9998162388801575>
<pmid: 37928476, isPK: True, prob: 0.9999626874923706>
<pmid: 37927589, isPK: True, prob: 0.9999620914459229>
<pmid: 37927586, isPK: True, prob: 0.9999932050704956>
<pmid: 37921161, isPK: False, prob: 0.002342078136280179>
<pmid: 37914337, isPK: False, prob: 0.0016589706065133214>
<pmid: 37908736, isPK: True, prob: 0.7795847654342651>
<pmid: 37908730, isPK: False, prob: 0.0006065533380024135>
<pmid: 37908719, isPK: False, prob: 0.001143764820881188>
<pmid: 37890935, isPK: False, prob: 0.008331451565027237>
<pmid: 37885894, isPK: False, prob: 0.0006154193542897701>
<pmid: 37881070, isPK: False, prob: 0.0009827407775446773>
<pmid: 37876732, isPK: True, prob: 0.999982476234436>
<pmid: 37874100, isPK: True, prob: 0.9688161611557007>
<pmid: 37872970, isPK: True, prob: 0.9999938011169434>
<pmid: 37869750, isPK: True, prob: 0.999984860420227>
<pmid: 37869748, isPK: True, prob: 0.9999825954437256>
<pmid: 37868980, isPK: False, prob: 0.0008977798279374838>
<pmid: 37868934, isPK: False, prob: 0.014359216205775738>
<pmid: 37867528, isPK: False, prob: 0.0005771797150373459>
<pmid: 37860278, isPK: False, prob: 0.0009281442617066205>
<pmid: 37860115, isPK: True, prob: 0.9999873638153076>
<pmid: 37860114, isPK: True, prob: 0.9984171390533447>
<pmid: 37859807, isPK: False, prob: 0.0007432958227582276>
<pmid: 37854715, isPK: True, prob: 0.9999077320098877>
<pmid: 37851618, isPK: False, prob: 0.0013700892450287938>
<pmid: 37850462, isPK: False, prob: 0.000924017105717212>
<pmid: 37849927, isPK: False, prob: 0.0008192600798793137>
<pmid: 37842056, isPK: True, prob: 0.9999769926071167>
<pmid: 37841465, isPK: True, prob: 0.9999679327011108>
<pmid: 37830105, isPK: True, prob: 0.9999895095825195>
<pmid: 37824334, isPK: True, prob: 0.9999929666519165>
<pmid: 37823690, isPK: True, prob: 0.9951649904251099>
<pmid: 37822772, isPK: False, prob: 0.0008189388900063932>
<pmid: 37809085, isPK: True, prob: 0.9999076128005981>
<pmid: 37809069, isPK: False, prob: 0.0006009986973367631>
<pmid: 37808191, isPK: False, prob: 0.0007018408505246043>
<pmid: 37808183, isPK: True, prob: 0.9999933242797852>
<pmid: 37799715, isPK: False, prob: 0.0008455313509330153>
<pmid: 37790938, isPK: True, prob: 0.9946179986000061>
<pmid: 37789969, isPK: True, prob: 0.999991774559021>
<pmid: 37781304, isPK: False, prob: 0.0012857738183811307>
<pmid: 37779048, isPK: False, prob: 0.0010821707546710968>
<pmid: 37778981, isPK: False, prob: 0.0005582491867244244>
<pmid: 37778837, isPK: False, prob: 0.0031445231288671494>
<pmid: 37771768, isPK: False, prob: 0.0009690250735729933>
<pmid: 37771727, isPK: True, prob: 0.9999940395355225>
<pmid: 37771457, isPK: False, prob: 0.0009403715957887471>
<pmid: 37771407, isPK: False, prob: 0.0007148409495130181>
<pmid: 37750166, isPK: False, prob: 0.0008427603170275688>
<pmid: 37745699, isPK: False, prob: 0.000559005537070334>
<pmid: 37744730, isPK: True, prob: 0.9999877214431763>
<pmid: 37736948, isPK: False, prob: 0.0010345426853746176>
<pmid: 37733699, isPK: False, prob: 0.0028292627539485693>
<pmid: 37732140, isPK: True, prob: 0.9999932050704956>
<pmid: 37731733, isPK: True, prob: 0.9999923706054688>
<pmid: 37731600, isPK: True, prob: 0.9966879487037659>
<pmid: 37729151, isPK: True, prob: 0.9999915361404419>
<pmid: 37724537, isPK: False, prob: 0.0009984542848542333>
<pmid: 37720597, isPK: False, prob: 0.000744741118978709>
<pmid: 37719449, isPK: True, prob: 0.9976964592933655>
<pmid: 37711012, isPK: True, prob: 0.9999905824661255>
<pmid: 37705869, isPK: False, prob: 0.0007492707809433341>
<pmid: 37701025, isPK: True, prob: 0.9997548460960388>
<pmid: 37698932, isPK: True, prob: 0.7978535294532776>
<pmid: 37695751, isPK: True, prob: 0.9999672174453735>
<pmid: 37691197, isPK: True, prob: 0.9999912977218628>
<pmid: 37691187, isPK: True, prob: 0.9997788071632385>
<pmid: 37682956, isPK: False, prob: 0.0020802111830562353>
<pmid: 37669264, isPK: False, prob: 0.000970965891610831>
<pmid: 37663251, isPK: True, prob: 0.9999918937683105>
<pmid: 37655324, isPK: False, prob: 0.0010855956934392452>
<pmid: 37641598, isPK: False, prob: 0.0009576127049513161>
<pmid: 37637412, isPK: True, prob: 0.9999933242797852>
<pmid: 37621871, isPK: True, prob: 0.999991774559021>
<pmid: 37609475, isPK: False, prob: 0.024429326876997948>
<pmid: 37608790, isPK: False, prob: 0.0010333015816286206>
<pmid: 37607177, isPK: True, prob: 0.9489870667457581>
<pmid: 37601904, isPK: False, prob: 0.0008139427518472075>
<pmid: 37599557, isPK: False, prob: 0.0006231545703485608>
<pmid: 37576809, isPK: True, prob: 0.9999874830245972>
<pmid: 37575934, isPK: False, prob: 0.0020956662483513355>
<pmid: 37575679, isPK: False, prob: 0.0006525014759972692>
<pmid: 37555188, isPK: False, prob: 0.001091536832973361>
<pmid: 37547336, isPK: True, prob: 0.9999881982803345>
<pmid: 37547331, isPK: False, prob: 0.0007529670838266611>
<pmid: 37546521, isPK: True, prob: 0.999987006187439>
<pmid: 37540701, isPK: True, prob: 0.9999829530715942>
<pmid: 37534261, isPK: True, prob: 0.9999245405197144>
<pmid: 37533631, isPK: False, prob: 0.0008841141825541854>
<pmid: 37533630, isPK: False, prob: 0.06066402420401573>
<pmid: 37521700, isPK: True, prob: 0.9999914169311523>
<pmid: 37519413, isPK: True, prob: 0.999993085861206>
<pmid: 37501723, isPK: False, prob: 0.0009038143907673657>
<pmid: 37497547, isPK: False, prob: 0.000980769982561469>
<pmid: 37497111, isPK: False, prob: 0.0007348178769461811>
<pmid: 37497104, isPK: False, prob: 0.0012332751648500562>
<pmid: 37490679, isPK: False, prob: 0.019522324204444885>
<pmid: 37484782, isPK: True, prob: 0.9999840259552002>
<pmid: 37484492, isPK: False, prob: 0.0012300979578867555>
<pmid: 37483270, isPK: True, prob: 0.9965985417366028>
<pmid: 37476826, isPK: False, prob: 0.004095875658094883>
<pmid: 37448695, isPK: False, prob: 0.0008453323971480131>
<pmid: 37441162, isPK: False, prob: 0.000764483236707747>
<pmid: 37441137, isPK: False, prob: 0.0007241505081765354>
<pmid: 37437891, isPK: False, prob: 0.0017167667392641306>
<pmid: 37435499, isPK: True, prob: 0.9999921321868896>
<pmid: 37435486, isPK: False, prob: 0.0005112932412885129>
<pmid: 37428729, isPK: True, prob: 0.9999896287918091>
<pmid: 37427084, isPK: True, prob: 0.9999862909317017>
<pmid: 37409550, isPK: False, prob: 0.0012421902501955628>
<pmid: 37409123, isPK: False, prob: 0.07930082827806473>
<pmid: 37408314, isPK: True, prob: 0.9990667700767517>
<pmid: 37398680, isPK: False, prob: 0.0009594926377758384>
<pmid: 37396162, isPK: False, prob: 0.0006780046969652176>
<pmid: 37393513, isPK: True, prob: 0.9715331792831421>
<pmid: 37389102, isPK: False, prob: 0.0011263330234214664>
<pmid: 37359445, isPK: True, prob: 0.9999797344207764>
<pmid: 37351153, isPK: False, prob: 0.000824388291221112>
<pmid: 37342592, isPK: True, prob: 0.9999916553497314>
<pmid: 37340744, isPK: False, prob: 0.0013472659047693014>
<pmid: 37334571, isPK: True, prob: 0.999977707862854>
<pmid: 37334053, isPK: True, prob: 0.9999929666519165>
<pmid: 37333910, isPK: False, prob: 0.35689201951026917>
<pmid: 37332991, isPK: True, prob: 0.99977046251297>
<pmid: 37332615, isPK: True, prob: 0.999992847442627>
<pmid: 37325572, isPK: False, prob: 0.001188342459499836>
<pmid: 37323948, isPK: False, prob: 0.0005013771005906165>
<pmid: 37315033, isPK: False, prob: 0.0007512189913541079>
<pmid: 37313896, isPK: False, prob: 0.0009074723348021507>
<pmid: 37313228, isPK: True, prob: 0.9962489008903503>
<pmid: 37312930, isPK: False, prob: 0.0008740802295506>
<pmid: 37305528, isPK: True, prob: 0.9999812841415405>
<pmid: 37305111, isPK: False, prob: 0.0008740827324800193>
<pmid: 37304462, isPK: False, prob: 0.0007584907580167055>
<pmid: 37294790, isPK: False, prob: 0.0008256444707512856>
<pmid: 37293201, isPK: False, prob: 0.0008543793810531497>
<pmid: 37275898, isPK: False, prob: 0.0009093696135096252>
<pmid: 37275428, isPK: False, prob: 0.0008553381194360554>
<pmid: 37274867, isPK: False, prob: 0.0006839741254225373>
<pmid: 37274110, isPK: True, prob: 0.7807155847549438>
<pmid: 37273286, isPK: False, prob: 0.0007343909237533808>
<pmid: 37269321, isPK: True, prob: 0.9999911785125732>
<pmid: 37261288, isPK: True, prob: 0.9993834495544434>
<pmid: 37259926, isPK: True, prob: 0.9994165897369385>
<pmid: 37259338, isPK: False, prob: 0.0011101929703727365>
<pmid: 37259312, isPK: True, prob: 0.9999866485595703>
<pmid: 37257430, isPK: True, prob: 0.9999891519546509>
<pmid: 37251952, isPK: False, prob: 0.09070520102977753>
<pmid: 37251331, isPK: False, prob: 0.0034807666670531034>
<pmid: 37251310, isPK: True, prob: 0.9999945163726807>
<pmid: 37244205, isPK: True, prob: 0.9999771118164062>
<pmid: 37243574, isPK: False, prob: 0.0005831339512951672>
<pmid: 37236731, isPK: False, prob: 0.001206155400723219>
<pmid: 37235186, isPK: False, prob: 0.0030766185373067856>
<pmid: 37231811, isPK: True, prob: 0.9999839067459106>
<pmid: 37231707, isPK: True, prob: 0.9999836683273315>
<pmid: 37226621, isPK: True, prob: 0.9999794960021973>
<pmid: 37223462, isPK: True, prob: 0.9324086904525757>
<pmid: 37216287, isPK: True, prob: 0.999994158744812>
<pmid: 37215599, isPK: True, prob: 0.9999933242797852>
<pmid: 37215581, isPK: False, prob: 0.0006696813507005572>
<pmid: 37215094, isPK: True, prob: 0.999992847442627>
<pmid: 37214474, isPK: True, prob: 0.9999892711639404>
<pmid: 37214472, isPK: True, prob: 0.9999933242797852>
<pmid: 37214210, isPK: False, prob: 0.0008699996978975832>
<pmid: 37203327, isPK: False, prob: 0.0009425392490811646>
<pmid: 37200359, isPK: False, prob: 0.000761619710829109>
<pmid: 37197654, isPK: False, prob: 0.000620518927462399>
<pmid: 37197026, isPK: False, prob: 0.0008976126555353403>
<pmid: 37195991, isPK: True, prob: 0.9999932050704956>
<pmid: 37194267, isPK: False, prob: 0.0008912247722037137>
<pmid: 37193080, isPK: False, prob: 0.0016577013302594423>
<pmid: 37188268, isPK: True, prob: 0.9999805688858032>
<pmid: 37180709, isPK: False, prob: 0.0014092334313318133>
<pmid: 37168943, isPK: True, prob: 0.9999934434890747>
<pmid: 37168773, isPK: False, prob: 0.006447846069931984>
<pmid: 37165496, isPK: True, prob: 0.9999837875366211>
<pmid: 37159592, isPK: False, prob: 0.0019183498807251453>
<pmid: 37158362, isPK: True, prob: 0.9999936819076538>
<pmid: 37158260, isPK: False, prob: 0.0007782302564010024>
<pmid: 37155649, isPK: False, prob: 0.5986112952232361>
<pmid: 37154819, isPK: False, prob: 0.000648314191494137>
<pmid: 37153799, isPK: False, prob: 0.000800918904133141>
<pmid: 37153145, isPK: True, prob: 0.9999897480010986>
<pmid: 37152898, isPK: False, prob: 0.0010578345973044634>
<pmid: 37146014, isPK: False, prob: 0.0005523330764845014>
<pmid: 37140787, isPK: False, prob: 0.0010329787619411945>
<pmid: 37128506, isPK: False, prob: 0.004302733112126589>
<pmid: 37124198, isPK: True, prob: 0.9999936819076538>
<pmid: 37123241, isPK: True, prob: 0.9999892711639404>
<pmid: 37122939, isPK: True, prob: 0.9988512992858887>
<pmid: 37121743, isPK: True, prob: 0.9999942779541016>
<pmid: 37114788, isPK: False, prob: 0.18594592809677124>
<pmid: 37114483, isPK: True, prob: 0.9997280240058899>
<pmid: 37113753, isPK: True, prob: 0.9999936819076538>
<pmid: 37112803, isPK: False, prob: 0.5556712746620178>
<pmid: 37111580, isPK: False, prob: 0.0013428687816485763>
<pmid: 37111575, isPK: True, prob: 0.9999933242797852>
<pmid: 37111566, isPK: True, prob: 0.9999911785125732>
<pmid: 37111559, isPK: True, prob: 0.9999891519546509>
<pmid: 37111551, isPK: False, prob: 0.001483672414906323>
<pmid: 37111280, isPK: False, prob: 0.0014949369942769408>
<pmid: 37111252, isPK: False, prob: 0.008353526704013348>
<pmid: 37109441, isPK: False, prob: 0.0008419777732342482>
<pmid: 37108960, isPK: False, prob: 0.04718418046832085>
<pmid: 37107043, isPK: True, prob: 0.9999924898147583>
<pmid: 37107004, isPK: True, prob: 0.9999879598617554>
<pmid: 37104130, isPK: True, prob: 0.9999803304672241>
<pmid: 37104129, isPK: True, prob: 0.9999843835830688>
<pmid: 37098307, isPK: False, prob: 0.0007783729815855622>
<pmid: 37089960, isPK: True, prob: 0.999932050704956>
<pmid: 37089201, isPK: True, prob: 0.9999926090240479>
<pmid: 37087793, isPK: False, prob: 0.0297751035541296>
<pmid: 37087206, isPK: True, prob: 0.9046061038970947>
<pmid: 37084628, isPK: False, prob: 0.000681727658957243>
<pmid: 37082746, isPK: False, prob: 0.0009238312486559153>
<pmid: 37082241, isPK: False, prob: 0.0009649585699662566>
<pmid: 37077814, isPK: True, prob: 0.999971866607666>
<pmid: 37077397, isPK: False, prob: 0.0010865177027881145>
<pmid: 37077336, isPK: False, prob: 0.002603905973955989>
<pmid: 37074875, isPK: False, prob: 0.0015533646801486611>
<pmid: 37073675, isPK: True, prob: 0.9994816184043884>
<pmid: 37072706, isPK: False, prob: 0.0010086961556226015>
<pmid: 37068415, isPK: False, prob: 0.0006541346665471792>
<pmid: 37065077, isPK: False, prob: 0.00128902995493263>
<pmid: 37064431, isPK: False, prob: 0.001059744507074356>
<pmid: 37063687, isPK: True, prob: 0.9999692440032959>
<pmid: 37063261, isPK: True, prob: 0.9999474287033081>
<pmid: 37063097, isPK: False, prob: 0.0010126691777259111>
<pmid: 37060784, isPK: True, prob: 0.9994128942489624>
<pmid: 37056567, isPK: False, prob: 0.0008866137941367924>
<pmid: 37050904, isPK: True, prob: 0.9999929666519165>
<pmid: 37049732, isPK: False, prob: 0.0007014810689724982>
<pmid: 37048702, isPK: False, prob: 0.004173083230853081>
<pmid: 37047256, isPK: False, prob: 0.0013171171303838491>
<pmid: 37047131, isPK: False, prob: 0.0008211659733206034>
<pmid: 37046647, isPK: True, prob: 0.9999945163726807>
<pmid: 37042320, isPK: False, prob: 0.0009749908349476755>
<pmid: 37038628, isPK: False, prob: 0.0005903164856135845>
<pmid: 37037169, isPK: True, prob: 0.999980092048645>
<pmid: 37033628, isPK: True, prob: 0.9999899864196777>
<pmid: 37031547, isPK: False, prob: 0.0006809004116803408>
<pmid: 37031476, isPK: True, prob: 0.9999837875366211>
<pmid: 37025491, isPK: True, prob: 0.9999924898147583>
<pmid: 37021772, isPK: True, prob: 0.9999920129776001>
<pmid: 37021416, isPK: False, prob: 0.0008157580159604549>
<pmid: 37021060, isPK: True, prob: 0.9992996454238892>
<pmid: 37021042, isPK: True, prob: 0.999982476234436>
<pmid: 37020854, isPK: True, prob: 0.9999730587005615>
<pmid: 37014319, isPK: False, prob: 0.007148878648877144>
<pmid: 37009844, isPK: True, prob: 0.9999595880508423>
<pmid: 37009433, isPK: False, prob: 0.003085809526965022>
<pmid: 37008941, isPK: False, prob: 0.0007328101783059537>
<pmid: 37007022, isPK: True, prob: 0.9999704360961914>
<pmid: 37005624, isPK: True, prob: 0.9994595646858215>
<pmid: 37005235, isPK: True, prob: 0.9999871253967285>
<pmid: 37005147, isPK: False, prob: 0.0007135134073905647>
<pmid: 37004327, isPK: True, prob: 0.9999417066574097>
<pmid: 37004293, isPK: False, prob: 0.001487987581640482>
<pmid: 37003576, isPK: True, prob: 0.9390208721160889>
<pmid: 37003113, isPK: True, prob: 0.9998353719711304>
<pmid: 37002647, isPK: True, prob: 0.9999932050704956>
<pmid: 37001861, isPK: True, prob: 0.9999922513961792>
<pmid: 37001831, isPK: True, prob: 0.9772796630859375>
<pmid: 37001557, isPK: False, prob: 0.006189587060362101>
<pmid: 37001389, isPK: False, prob: 0.0008015744388103485>
<pmid: 37001300, isPK: True, prob: 0.9996421337127686>
<pmid: 37001274, isPK: False, prob: 0.0010590687161311507>
<pmid: 37001039, isPK: False, prob: 0.001056428300216794>
<pmid: 37000342, isPK: True, prob: 0.9999886751174927>
<pmid: 37000176, isPK: True, prob: 0.9999723434448242>
<pmid: 36999933, isPK: False, prob: 0.0008037457591854036>
<pmid: 36999656, isPK: True, prob: 0.9057310223579407>
<pmid: 36999133, isPK: False, prob: 0.0010431013070046902>
<pmid: 36998614, isPK: True, prob: 0.9999877214431763>
<pmid: 36998611, isPK: True, prob: 0.9999793767929077>
<pmid: 36998606, isPK: True, prob: 0.999990701675415>
<pmid: 36998602, isPK: False, prob: 0.0005932697677053511>
<pmid: 36997611, isPK: False, prob: 0.0017036896897479892>
<pmid: 36997598, isPK: False, prob: 0.0011485980357974768>
<pmid: 36997571, isPK: False, prob: 0.0008989327470771968>
<pmid: 36997331, isPK: False, prob: 0.0009554342250339687>
<pmid: 36996912, isPK: True, prob: 0.999990701675415>
<pmid: 36996739, isPK: False, prob: 0.0007011690177023411>
<pmid: 36996652, isPK: False, prob: 0.0019633937627077103>
<pmid: 36996541, isPK: False, prob: 0.16983662545681>
<pmid: 36995499, isPK: False, prob: 0.0008715438307262957>
<pmid: 36995090, isPK: False, prob: 0.0012852209620177746>
<pmid: 36994984, isPK: True, prob: 0.9999946355819702>
<pmid: 36993937, isPK: False, prob: 0.001473359763622284>
<pmid: 36993275, isPK: True, prob: 0.9999790191650391>
<pmid: 36992827, isPK: True, prob: 0.9999817609786987>
<pmid: 36991285, isPK: True, prob: 0.9999656677246094>
<pmid: 36991227, isPK: True, prob: 0.9999933242797852>
<pmid: 36990409, isPK: False, prob: 0.0013206599978730083>
<pmid: 36990295, isPK: True, prob: 0.9999921321868896>
<pmid: 36990146, isPK: False, prob: 0.0014329459518194199>
<pmid: 36989856, isPK: True, prob: 0.9999935626983643>
<pmid: 36989718, isPK: True, prob: 0.8816424012184143>
<pmid: 36988587, isPK: False, prob: 0.0005374689935706556>
<pmid: 36987427, isPK: False, prob: 0.00047471944708377123>
<pmid: 36986943, isPK: False, prob: 0.0014503345591947436>
<pmid: 36986880, isPK: True, prob: 0.999931812286377>
<pmid: 36986828, isPK: False, prob: 0.0023264584597200155>
<pmid: 36986803, isPK: True, prob: 0.9999915361404419>
<pmid: 36986758, isPK: True, prob: 0.9999934434890747>
<pmid: 36986755, isPK: True, prob: 0.999992847442627>
<pmid: 36986753, isPK: False, prob: 0.001572921290062368>
<pmid: 36986743, isPK: True, prob: 0.9999926090240479>
<pmid: 36986714, isPK: False, prob: 0.0022586798295378685>
<pmid: 36986698, isPK: True, prob: 0.9999923706054688>
<pmid: 36986667, isPK: False, prob: 0.001977828796952963>
<pmid: 36986658, isPK: True, prob: 0.8969763517379761>
<pmid: 36986644, isPK: True, prob: 0.9999910593032837>
<pmid: 36986614, isPK: True, prob: 0.9999942779541016>
<pmid: 36986563, isPK: True, prob: 0.9999477863311768>
<pmid: 36986539, isPK: False, prob: 0.0007162999245338142>
<pmid: 36986508, isPK: False, prob: 0.5556309819221497>
<pmid: 36986488, isPK: False, prob: 0.00058787438319996>
<pmid: 36986471, isPK: False, prob: 0.003201659768819809>
<pmid: 36986465, isPK: False, prob: 0.0015233627054840326>
<pmid: 36986460, isPK: True, prob: 0.9999932050704956>
<pmid: 36986363, isPK: False, prob: 0.0007127751014195383>
<pmid: 36986241, isPK: False, prob: 0.001119420980103314>
<pmid: 36986190, isPK: False, prob: 0.0008615226834081113>
<pmid: 36985709, isPK: False, prob: 0.000760383321903646>
<pmid: 36985614, isPK: False, prob: 0.001356809982098639>
<pmid: 36985595, isPK: False, prob: 0.001834379625506699>
<pmid: 36985141, isPK: True, prob: 0.9999938011169434>
<pmid: 36984737, isPK: False, prob: 0.0008380372310057282>
<pmid: 36984572, isPK: True, prob: 0.933174192905426>
<pmid: 36983209, isPK: True, prob: 0.999338686466217>
<pmid: 36982920, isPK: True, prob: 0.9928471446037292>
<pmid: 36982796, isPK: False, prob: 0.0013150476152077317>
<pmid: 36982773, isPK: True, prob: 0.9863643050193787>
<pmid: 36982765, isPK: True, prob: 0.8780062794685364>
<pmid: 36982577, isPK: False, prob: 0.001148574403487146>
<pmid: 36982372, isPK: False, prob: 0.0008881915709935129>
<pmid: 36982329, isPK: False, prob: 0.0007760589360259473>
<pmid: 36982205, isPK: False, prob: 0.0008476594230160117>
<pmid: 36980255, isPK: False, prob: 0.07550440728664398>
<pmid: 36979660, isPK: True, prob: 0.9999841451644897>
<pmid: 36979555, isPK: True, prob: 0.999993085861206>
<pmid: 36979013, isPK: False, prob: 0.005284162703901529>
<pmid: 36978444, isPK: True, prob: 0.9999755620956421>
<pmid: 36978435, isPK: True, prob: 0.9999899864196777>
<pmid: 36978398, isPK: True, prob: 0.9999574422836304>
<pmid: 36978336, isPK: True, prob: 0.9999912977218628>
<pmid: 36978312, isPK: True, prob: 0.9999927282333374>
<pmid: 36978303, isPK: True, prob: 0.9999924898147583>
<pmid: 36977960, isPK: True, prob: 0.9999935626983643>
<pmid: 36975792, isPK: False, prob: 0.06353355199098587>
<pmid: 36975752, isPK: False, prob: 0.002562308683991432>
<pmid: 36974996, isPK: False, prob: 0.0007906179525889456>
<pmid: 36973482, isPK: False, prob: 0.001202483312226832>
<pmid: 36973474, isPK: True, prob: 0.9999598264694214>
<pmid: 36973133, isPK: True, prob: 0.9999188184738159>
<pmid: 36973002, isPK: True, prob: 0.9991944432258606>
<pmid: 36972999, isPK: True, prob: 0.9999744892120361>
<pmid: 36972779, isPK: False, prob: 0.0012780006509274244>
<pmid: 36972696, isPK: True, prob: 0.9999945163726807>
<pmid: 36972008, isPK: True, prob: 0.9999855756759644>
<pmid: 36970713, isPK: True, prob: 0.9996016621589661>
<pmid: 36970218, isPK: False, prob: 0.0007842406048439443>
<pmid: 36969870, isPK: True, prob: 0.999991774559021>
<pmid: 36969846, isPK: False, prob: 0.2978576123714447>
<pmid: 36968686, isPK: True, prob: 0.6955432891845703>
<pmid: 36967780, isPK: True, prob: 0.9999817609786987>
<pmid: 36967505, isPK: True, prob: 0.9999681711196899>
<pmid: 36967484, isPK: True, prob: 0.9999935626983643>
<pmid: 36967462, isPK: False, prob: 0.0017597265541553497>
<pmid: 36967391, isPK: True, prob: 0.9999938011169434>
<pmid: 36967282, isPK: True, prob: 0.9109973311424255>
<pmid: 36967241, isPK: False, prob: 0.0009935777634382248>
<pmid: 36966851, isPK: False, prob: 0.0005396995111368597>
<pmid: 36966415, isPK: True, prob: 0.9991493225097656>
<pmid: 36966240, isPK: False, prob: 0.0010375585407018661>
<pmid: 36965857, isPK: False, prob: 0.01278496254235506>
<pmid: 36965734, isPK: False, prob: 0.0013682147255167365>
<pmid: 36965472, isPK: False, prob: 0.0011213115649297833>
<pmid: 36965398, isPK: True, prob: 0.9947665929794312>
<pmid: 36965286, isPK: False, prob: 0.0011803876841440797>
<pmid: 36965269, isPK: False, prob: 0.0007973923347890377>
<pmid: 36965157, isPK: True, prob: 0.9999932050704956>
