Run will be saved under: ./run_outputs/run_2000-07-01_to_2000

Screening abstracts and fetching fulltexts...
Running on device: cpu
<pmid: 16649325, isPK: True, prob: 0.9999332427978516>
<pmid: 11420887, isPK: True, prob: 0.9999936819076538>
<pmid: 11420886, isPK: True, prob: 0.9999926090240479>
<pmid: 11395327, isPK: True, prob: 0.9987229704856873>
<pmid: 11383555, isPK: False, prob: 0.0008814330794848502>
<pmid: 11383554, isPK: False, prob: 0.0010929987765848637>
<pmid: 11372452, isPK: True, prob: 0.9999732971191406>
<pmid: 11372435, isPK: True, prob: 0.9999936819076538>
<pmid: 11368329, isPK: False, prob: 0.0014046536525711417>
<pmid: 11360678, isPK: True, prob: 0.9999934434890747>
<pmid: 11360664, isPK: True, prob: 0.9999850988388062>
<pmid: 11358351, isPK: False, prob: 0.0008823099196888506>
<pmid: 11353288, isPK: False, prob: 0.0009923620382323861>
<pmid: 11347295, isPK: False, prob: 0.0009683098760433495>
<pmid: 11346898, isPK: True, prob: 0.999994158744812>
<pmid: 11334232, isPK: True, prob: 0.999993085861206>
<pmid: 11326136, isPK: False, prob: 0.0007874430157244205>
<pmid: 11317172, isPK: True, prob: 0.999895453453064>
<pmid: 11307968, isPK: True, prob: 0.999799907207489>
<pmid: 11303964, isPK: True, prob: 0.999993085861206>
<pmid: 11303962, isPK: True, prob: 0.9999929666519165>
<pmid: 11303956, isPK: True, prob: 0.9998865127563477>
<pmid: 11303953, isPK: True, prob: 0.999992847442627>
<pmid: 11293259, isPK: False, prob: 0.000673492148052901>
<pmid: 11293248, isPK: False, prob: 0.0006710312445648015>
<pmid: 11286314, isPK: False, prob: 0.0007742709130980074>
<pmid: 11274894, isPK: True, prob: 0.997829020023346>
<pmid: 11268439, isPK: True, prob: 0.9999940395355225>
<pmid: 11257318, isPK: True, prob: 0.9999934434890747>
<pmid: 11256561, isPK: False, prob: 0.0008975959499366581>
<pmid: 11256237, isPK: False, prob: 0.0017033459153026342>
<pmid: 11252030, isPK: True, prob: 0.9998327493667603>
<pmid: 11251330, isPK: True, prob: 0.9869911074638367>
<pmid: 11249784, isPK: False, prob: 0.001264445367269218>
<pmid: 11249603, isPK: False, prob: 0.0019285898888483644>
<pmid: 11242459, isPK: False, prob: 0.0010757753625512123>
<pmid: 11242448, isPK: False, prob: 0.0010699913837015629>
<pmid: 11234916, isPK: False, prob: 0.0009085095953196287>
<pmid: 11233653, isPK: False, prob: 0.003216504119336605>
<pmid: 11229363, isPK: False, prob: 0.0007907014805823565>
<pmid: 11229353, isPK: False, prob: 0.0010237556416541338>
<pmid: 11221281, isPK: False, prob: 0.001099754124879837>
<pmid: 11216560, isPK: True, prob: 0.9999902248382568>
<pmid: 11215860, isPK: True, prob: 0.9999927282333374>
<pmid: 11214971, isPK: False, prob: 0.0009333551861345768>
<pmid: 11214970, isPK: False, prob: 0.0032080423552542925>
<pmid: 11214969, isPK: False, prob: 0.0010148633737117052>
<pmid: 11214776, isPK: True, prob: 0.9999927282333374>
<pmid: 11214187, isPK: True, prob: 0.9999188184738159>
<pmid: 11213442, isPK: True, prob: 0.9999945163726807>
<pmid: 11212949, isPK: True, prob: 0.9999940395355225>
<pmid: 11211505, isPK: False, prob: 0.001080996124073863>
<pmid: 11210099, isPK: False, prob: 0.0012847987236455083>
<pmid: 11210097, isPK: True, prob: 0.9997811913490295>
<pmid: 11210096, isPK: True, prob: 0.9999910593032837>
<pmid: 11208457, isPK: False, prob: 0.033378928899765015>
<pmid: 11208420, isPK: False, prob: 0.002676407340914011>
<pmid: 11206711, isPK: True, prob: 0.9999909400939941>
<pmid: 11206326, isPK: False, prob: 0.0009634775924496353>
<pmid: 11205879, isPK: False, prob: 0.05118650197982788>
<pmid: 11205739, isPK: True, prob: 0.9999911785125732>
<pmid: 11205736, isPK: True, prob: 0.9990561604499817>
<pmid: 11204469, isPK: False, prob: 0.0008612566743977368>
<pmid: 11204446, isPK: False, prob: 0.0008479288080707192>
<pmid: 11203674, isPK: False, prob: 0.0011599190765991807>
<pmid: 11202517, isPK: False, prob: 0.005865616258233786>
<pmid: 11201667, isPK: False, prob: 0.0010134638287127018>
<pmid: 11201665, isPK: True, prob: 0.9999805688858032>
<pmid: 11199472, isPK: False, prob: 0.0008263012859970331>
<pmid: 11198927, isPK: True, prob: 0.9999178647994995>
<pmid: 11198477, isPK: False, prob: 0.0006671370356343687>
<pmid: 11197078, isPK: False, prob: 0.5515410304069519>
<pmid: 11197076, isPK: True, prob: 0.9999933242797852>
<pmid: 11197071, isPK: True, prob: 0.9999946355819702>
<pmid: 11197069, isPK: True, prob: 0.9999924898147583>
<pmid: 11196581, isPK: True, prob: 0.9999923706054688>
<pmid: 11196423, isPK: False, prob: 0.0010290459031239152>
<pmid: 11196420, isPK: False, prob: 0.0007552206516265869>
<pmid: 11196341, isPK: True, prob: 0.9999905824661255>
<pmid: 11195464, isPK: False, prob: 0.0013205544091761112>
<pmid: 11194156, isPK: False, prob: 0.0008021612302400172>
<pmid: 11194151, isPK: True, prob: 0.8999847173690796>
<pmid: 11194146, isPK: True, prob: 0.7336938977241516>
<pmid: 11194056, isPK: False, prob: 0.0009542452171444893>
<pmid: 11193448, isPK: True, prob: 0.999992847442627>
<pmid: 11192712, isPK: False, prob: 0.003928797785192728>
<pmid: 11192475, isPK: True, prob: 0.9999902248382568>
<pmid: 11192474, isPK: True, prob: 0.9999924898147583>
<pmid: 11192472, isPK: True, prob: 0.9999933242797852>
<pmid: 11190951, isPK: True, prob: 0.999491810798645>
<pmid: 11190832, isPK: False, prob: 0.0008365222020074725>
<pmid: 11190496, isPK: True, prob: 0.9953339695930481>
<pmid: 11190491, isPK: True, prob: 0.9014841318130493>
<pmid: 11190487, isPK: True, prob: 0.9864614605903625>
<pmid: 11190202, isPK: False, prob: 0.0007974059553816915>
<pmid: 11189877, isPK: True, prob: 0.9999450445175171>
<pmid: 11189871, isPK: True, prob: 0.9999927282333374>
<pmid: 11189445, isPK: False, prob: 0.000992129440419376>
<pmid: 11187897, isPK: True, prob: 0.7775415182113647>
<pmid: 11186242, isPK: True, prob: 0.9999936819076538>
<pmid: 11185962, isPK: False, prob: 0.0016417321749031544>
<pmid: 11185955, isPK: False, prob: 0.001986035378649831>
<pmid: 11185666, isPK: True, prob: 0.9999759197235107>
<pmid: 11185664, isPK: True, prob: 0.9999934434890747>
<pmid: 11185663, isPK: True, prob: 0.999962568283081>
<pmid: 11185662, isPK: True, prob: 0.999984860420227>
<pmid: 11185661, isPK: True, prob: 0.9999929666519165>
<pmid: 11185557, isPK: True, prob: 0.9975536465644836>
<pmid: 11184997, isPK: False, prob: 0.0014220149023458362>
<pmid: 11180195, isPK: True, prob: 0.989060640335083>
<pmid: 11180028, isPK: True, prob: 0.999992847442627>
<pmid: 11180027, isPK: False, prob: 0.002335433615371585>
<pmid: 11180025, isPK: True, prob: 0.9999934434890747>
<pmid: 11180022, isPK: True, prob: 0.9999936819076538>
<pmid: 11180017, isPK: True, prob: 0.9989789724349976>
<pmid: 11177493, isPK: True, prob: 0.9999915361404419>
<pmid: 11173504, isPK: False, prob: 0.001503746840171516>
<pmid: 11171199, isPK: False, prob: 0.0009797706734389067>
<pmid: 11168914, isPK: True, prob: 0.9999936819076538>
<pmid: 11168913, isPK: True, prob: 0.9999852180480957>
<pmid: 11168911, isPK: True, prob: 0.9999938011169434>
<pmid: 11168910, isPK: True, prob: 0.9999946355819702>
<pmid: 11167305, isPK: True, prob: 0.9999840259552002>
<pmid: 11167042, isPK: False, prob: 0.11043231189250946>
<pmid: 11167040, isPK: True, prob: 0.9999938011169434>
<pmid: 11167009, isPK: False, prob: 0.0013142538955435157>
<pmid: 11164075, isPK: True, prob: 0.999985933303833>
<pmid: 11141291, isPK: True, prob: 0.9997790455818176>
<pmid: 11156482, isPK: False, prob: 0.00066010607406497>
<pmid: 11156397, isPK: False, prob: 0.003833992872387171>
<pmid: 11156389, isPK: False, prob: 0.0005238348385319114>
<pmid: 11156253, isPK: False, prob: 0.0008081397973001003>
<pmid: 11156250, isPK: False, prob: 0.000744494900573045>
<pmid: 11156244, isPK: False, prob: 0.0007484715315513313>
<pmid: 11156226, isPK: True, prob: 0.9999938011169434>
<pmid: 11156225, isPK: False, prob: 0.0007980113732628524>
<pmid: 11156221, isPK: True, prob: 0.9999910593032837>
<pmid: 11155852, isPK: False, prob: 0.02851715125143528>
<pmid: 11155851, isPK: True, prob: 0.9990130662918091>
<pmid: 11155748, isPK: False, prob: 0.00066547398455441>
<pmid: 11155659, isPK: True, prob: 0.9999792575836182>
<pmid: 11154844, isPK: False, prob: 0.0006772991036996245>
<pmid: 11154734, isPK: False, prob: 0.0013713235966861248>
<pmid: 11134001, isPK: False, prob: 0.002496842062100768>
<pmid: 11133985, isPK: False, prob: 0.0010275871027261019>
<pmid: 11133984, isPK: False, prob: 0.0012410571798682213>
<pmid: 11154089, isPK: False, prob: 0.002519796136766672>
<pmid: 11154034, isPK: True, prob: 0.9999940395355225>
<pmid: 11154032, isPK: True, prob: 0.999993085861206>
<pmid: 11154028, isPK: True, prob: 0.9999828338623047>
<pmid: 11153668, isPK: True, prob: 0.999990701675415>
<pmid: 11151982, isPK: False, prob: 0.0012273056199774146>
<pmid: 11151759, isPK: False, prob: 0.0006929010851308703>
<pmid: 11151746, isPK: True, prob: 0.9999942779541016>
<pmid: 11151744, isPK: True, prob: 0.9999876022338867>
<pmid: 11151079, isPK: False, prob: 0.0008391112205572426>
<pmid: 11150714, isPK: False, prob: 0.0009890933288261294>
<pmid: 11150653, isPK: False, prob: 0.0014796913601458073>
<pmid: 11150640, isPK: False, prob: 0.0012869486818090081>
<pmid: 11150394, isPK: False, prob: 0.0009636475006118417>
<pmid: 11150393, isPK: False, prob: 0.002180323004722595>
<pmid: 11150165, isPK: False, prob: 0.0014693400589749217>
<pmid: 11149465, isPK: True, prob: 0.9999953508377075>
<pmid: 11149444, isPK: True, prob: 0.9999924898147583>
<pmid: 11149430, isPK: True, prob: 0.9999949932098389>
<pmid: 11149104, isPK: True, prob: 0.9999746084213257>
<pmid: 11148595, isPK: False, prob: 0.0009855179814621806>
<pmid: 11148378, isPK: False, prob: 0.001037917798385024>
<pmid: 11147698, isPK: True, prob: 0.9623642563819885>
<pmid: 11147133, isPK: False, prob: 0.0007205880247056484>
<pmid: 11147132, isPK: False, prob: 0.0033503915183246136>
<pmid: 11147131, isPK: False, prob: 0.008097720332443714>
<pmid: 11147127, isPK: False, prob: 0.000999871757812798>
<pmid: 11147125, isPK: False, prob: 0.0010306171607226133>
<pmid: 11147124, isPK: False, prob: 0.0011421546805649996>
<pmid: 11146970, isPK: True, prob: 0.9999915361404419>
<pmid: 11146268, isPK: False, prob: 0.0008536624372936785>
<pmid: 11145236, isPK: True, prob: 0.999991774559021>
<pmid: 11145235, isPK: True, prob: 0.9999858140945435>
<pmid: 11145229, isPK: True, prob: 0.7511609792709351>
<pmid: 11145228, isPK: True, prob: 0.9999935626983643>
<pmid: 11145227, isPK: True, prob: 0.9999732971191406>
<pmid: 11145224, isPK: False, prob: 0.003051742445677519>
<pmid: 11145222, isPK: False, prob: 0.0014162510633468628>
<pmid: 11145192, isPK: False, prob: 0.009678737260401249>
<pmid: 11145191, isPK: False, prob: 0.0009104788769036531>
<pmid: 11145186, isPK: True, prob: 0.9999938011169434>
<pmid: 11145183, isPK: True, prob: 0.9999916553497314>
<pmid: 11145158, isPK: True, prob: 0.9981010556221008>
<pmid: 11144698, isPK: True, prob: 0.9999802112579346>
<pmid: 11144694, isPK: True, prob: 0.999990701675415>
<pmid: 11144662, isPK: False, prob: 0.011665253899991512>
<pmid: 11144484, isPK: True, prob: 0.999906063079834>
<pmid: 11144380, isPK: True, prob: 0.9999812841415405>
<pmid: 11143566, isPK: False, prob: 0.0015514384722337127>
<pmid: 11142484, isPK: False, prob: 0.0013333635870367289>
<pmid: 11141602, isPK: False, prob: 0.001181508065201342>
<pmid: 11140442, isPK: True, prob: 0.9999122619628906>
<pmid: 11140441, isPK: True, prob: 0.9999887943267822>
<pmid: 11140136, isPK: True, prob: 0.9528549313545227>
<pmid: 11139459, isPK: True, prob: 0.9999935626983643>
<pmid: 11139367, isPK: False, prob: 0.0009107747464440763>
<pmid: 11139186, isPK: True, prob: 0.998515784740448>
<pmid: 11139174, isPK: False, prob: 0.0016774716787040234>
<pmid: 11138845, isPK: False, prob: 0.000814857252407819>
<pmid: 11138695, isPK: False, prob: 0.5487710237503052>
<pmid: 11137336, isPK: False, prob: 0.0007268402841873467>
<pmid: 11137067, isPK: False, prob: 0.0007586092688143253>
<pmid: 11137064, isPK: False, prob: 0.0007619914249517024>
<pmid: 11136537, isPK: False, prob: 0.0009691248997114599>
<pmid: 11136293, isPK: True, prob: 0.9999918937683105>
<pmid: 11136292, isPK: True, prob: 0.999975323677063>
<pmid: 11134101, isPK: False, prob: 0.0007534511969424784>
<pmid: 11134095, isPK: True, prob: 0.9999346733093262>
<pmid: 11133812, isPK: False, prob: 0.0006024471367709339>
<pmid: 11133393, isPK: False, prob: 0.0010757189011201262>
<pmid: 11133346, isPK: False, prob: 0.0017298284219577909>
<pmid: 11133078, isPK: False, prob: 0.0007135563064366579>
<pmid: 11132903, isPK: True, prob: 0.9999946355819702>
<pmid: 11132546, isPK: True, prob: 0.9997400641441345>
<pmid: 11132509, isPK: True, prob: 0.9959639310836792>
<pmid: 11121398, isPK: False, prob: 0.0008653533295728266>
<pmid: 11131956, isPK: True, prob: 0.9999935626983643>
<pmid: 11131453, isPK: False, prob: 0.0008454858907498419>
<pmid: 11131364, isPK: True, prob: 0.9999681711196899>
<pmid: 11131197, isPK: True, prob: 0.9451248645782471>
<pmid: 11131029, isPK: True, prob: 0.9999935626983643>
<pmid: 11130823, isPK: False, prob: 0.0009740949026308954>
<pmid: 11130334, isPK: False, prob: 0.0006466376362368464>
<pmid: 11130287, isPK: False, prob: 0.0009417268447577953>
<pmid: 11129497, isPK: True, prob: 0.9999775886535645>
<pmid: 11129459, isPK: True, prob: 0.9988186955451965>
<pmid: 11129127, isPK: False, prob: 0.0009710398153401911>
<pmid: 11129124, isPK: False, prob: 0.0007981985108926892>
<pmid: 11128971, isPK: False, prob: 0.0008647721260786057>
<pmid: 11128720, isPK: False, prob: 0.0005935922381468117>
<pmid: 11128359, isPK: False, prob: 0.0011148841585963964>
<pmid: 11128238, isPK: True, prob: 0.9999922513961792>
<pmid: 11128235, isPK: True, prob: 0.9999864101409912>
<pmid: 11128234, isPK: True, prob: 0.9999728202819824>
<pmid: 11128099, isPK: True, prob: 0.997050404548645>
<pmid: 11126910, isPK: False, prob: 0.0013079752679914236>
<pmid: 11126271, isPK: False, prob: 0.1154559925198555>
<pmid: 11126264, isPK: False, prob: 0.05127272382378578>
<pmid: 11126254, isPK: False, prob: 0.0018573903944343328>
<pmid: 11126029, isPK: False, prob: 0.0009047489147633314>
<pmid: 11125013, isPK: False, prob: 0.001404132111929357>
<pmid: 11124868, isPK: False, prob: 0.0006801306735724211>
<pmid: 11124599, isPK: False, prob: 0.001790771959349513>
<pmid: 11124092, isPK: True, prob: 0.999987006187439>
<pmid: 11123719, isPK: False, prob: 0.0009575762669555843>
<pmid: 11123497, isPK: False, prob: 0.0006967121735215187>
<pmid: 11123166, isPK: True, prob: 0.9999362230300903>
<pmid: 11122549, isPK: False, prob: 0.0011799964122474194>
<pmid: 11121730, isPK: True, prob: 0.9996243715286255>
<pmid: 11120562, isPK: False, prob: 0.0010364974150434136>
<pmid: 11120282, isPK: True, prob: 0.999441921710968>
<pmid: 11120037, isPK: True, prob: 0.999744713306427>
<pmid: 11119423, isPK: False, prob: 0.0009845012100413442>
<pmid: 11119417, isPK: False, prob: 0.0005035750800743699>
<pmid: 11119265, isPK: False, prob: 0.001835056347772479>
<pmid: 11119072, isPK: False, prob: 0.001643587020225823>
<pmid: 11118849, isPK: True, prob: 0.999988317489624>
<pmid: 11118471, isPK: True, prob: 0.9999943971633911>
<pmid: 11118429, isPK: False, prob: 0.0008950137416832149>
<pmid: 11118292, isPK: False, prob: 0.0011071342742070556>
<pmid: 11118050, isPK: False, prob: 0.000863226072397083>
<pmid: 11118049, isPK: False, prob: 0.0009596197050996125>
<pmid: 11118048, isPK: False, prob: 0.001169094699434936>
<pmid: 11118031, isPK: False, prob: 0.0009464104077778757>
<pmid: 11118030, isPK: False, prob: 0.0008033950580283999>
<pmid: 11118016, isPK: False, prob: 0.0008513595093972981>
<pmid: 11117655, isPK: False, prob: 0.005380965303629637>
<pmid: 11117247, isPK: True, prob: 0.9865536093711853>
<pmid: 11116202, isPK: True, prob: 0.9986233711242676>
<pmid: 11104759, isPK: False, prob: 0.001577155664563179>
<pmid: 11115780, isPK: False, prob: 0.0008159680292010307>
<pmid: 11115376, isPK: True, prob: 0.8557730317115784>
<pmid: 11115362, isPK: False, prob: 0.001022643526084721>
<pmid: 11115063, isPK: False, prob: 0.0023077651858329773>
<pmid: 11114786, isPK: True, prob: 0.9998359680175781>
<pmid: 11114783, isPK: True, prob: 0.9990400671958923>
<pmid: 11114327, isPK: False, prob: 0.0021234159357845783>
<pmid: 11114206, isPK: True, prob: 0.9865633249282837>
<pmid: 11113706, isPK: False, prob: 0.0007253024377860129>
<pmid: 11113703, isPK: False, prob: 0.001596884336322546>
<pmid: 11113083, isPK: False, prob: 0.0018195939483121037>
<pmid: 11113071, isPK: False, prob: 0.0013409970561042428>
<pmid: 11111155, isPK: False, prob: 0.014678600244224072>
<pmid: 11110866, isPK: False, prob: 0.001398888067342341>
<pmid: 11110859, isPK: False, prob: 0.04548323526978493>
<pmid: 11110793, isPK: False, prob: 0.000780453730840236>
<pmid: 11110669, isPK: False, prob: 0.0009049940854310989>
<pmid: 11110207, isPK: True, prob: 0.9999924898147583>
<pmid: 11109739, isPK: False, prob: 0.0008679826860316098>
<pmid: 11109013, isPK: True, prob: 0.9999929666519165>
<pmid: 11108981, isPK: True, prob: 0.999872088432312>
<pmid: 11108820, isPK: False, prob: 0.0011621365556493402>
<pmid: 11108549, isPK: False, prob: 0.003993837162852287>
<pmid: 11108507, isPK: True, prob: 0.9999938011169434>
<pmid: 11108434, isPK: True, prob: 0.9999929666519165>
<pmid: 11108186, isPK: True, prob: 0.9991539716720581>
<pmid: 11107927, isPK: True, prob: 0.9985803365707397>
<pmid: 11107005, isPK: True, prob: 0.999992847442627>
<pmid: 11107002, isPK: True, prob: 0.929053008556366>
<pmid: 11106605, isPK: False, prob: 0.0016305310418829322>
<pmid: 11106561, isPK: False, prob: 0.0008226853096857667>
<pmid: 11106559, isPK: False, prob: 0.0007232604548335075>
<pmid: 11106266, isPK: False, prob: 0.0010638791136443615>
<pmid: 11106262, isPK: True, prob: 0.9999915361404419>
<pmid: 11106162, isPK: False, prob: 0.0014371147844940424>
<pmid: 11106142, isPK: True, prob: 0.9999911785125732>
<pmid: 11106134, isPK: True, prob: 0.9950384497642517>
<pmid: 11105986, isPK: True, prob: 0.9999837875366211>
<pmid: 11105851, isPK: True, prob: 0.9980205297470093>
<pmid: 11105590, isPK: False, prob: 0.0019150940934196115>
<pmid: 11104898, isPK: False, prob: 0.0006857331027276814>
<pmid: 11104622, isPK: False, prob: 0.0005719632026739419>
<pmid: 27263632, isPK: False, prob: 0.003644081996753812>
<pmid: 11104018, isPK: False, prob: 0.0010542449308559299>
<pmid: 11104009, isPK: False, prob: 0.0009982403134927154>
<pmid: 11103823, isPK: False, prob: 0.0007839659810997546>
<pmid: 11103810, isPK: False, prob: 0.001571054570376873>
<pmid: 11103802, isPK: True, prob: 0.999763548374176>
<pmid: 11103779, isPK: False, prob: 0.0006259170477278531>
<pmid: 11103759, isPK: True, prob: 0.999992847442627>
<pmid: 11103754, isPK: True, prob: 0.9999867677688599>
<pmid: 11103750, isPK: True, prob: 0.9999943971633911>
<pmid: 11103381, isPK: True, prob: 0.9999899864196777>
<pmid: 11103215, isPK: False, prob: 0.04650069400668144>
<pmid: 11102966, isPK: False, prob: 0.000861609645653516>
<pmid: 11102742, isPK: True, prob: 0.9999936819076538>
<pmid: 11102739, isPK: True, prob: 0.9999933242797852>
<pmid: 11102737, isPK: True, prob: 0.9998718500137329>
<pmid: 11102736, isPK: True, prob: 0.9999890327453613>
<pmid: 11102677, isPK: False, prob: 0.001165658701211214>
<pmid: 11100975, isPK: False, prob: 0.0007122549577616155>
<pmid: 11100834, isPK: True, prob: 0.9991303086280823>
<pmid: 11100106, isPK: False, prob: 0.0010133899049833417>
<pmid: 11099643, isPK: False, prob: 0.000960416451562196>
<pmid: 11099422, isPK: False, prob: 0.0013521313667297363>
<pmid: 11099237, isPK: True, prob: 0.9994032382965088>
<pmid: 11099129, isPK: True, prob: 0.999782383441925>
<pmid: 11098924, isPK: False, prob: 0.1957976371049881>
<pmid: 11098914, isPK: True, prob: 0.9999943971633911>
<pmid: 11098737, isPK: True, prob: 0.9999914169311523>
<pmid: 11098503, isPK: True, prob: 0.9999954700469971>
<pmid: 11097378, isPK: True, prob: 0.9999942779541016>
<pmid: 11097343, isPK: True, prob: 0.9951586127281189>
<pmid: 11097180, isPK: True, prob: 0.9996426105499268>
<pmid: 11096374, isPK: True, prob: 0.997825026512146>
<pmid: 11095662, isPK: False, prob: 0.0018974003614857793>
<pmid: 11095653, isPK: False, prob: 0.001175959245301783>
<pmid: 11095592, isPK: True, prob: 0.9999932050704956>
<pmid: 11095573, isPK: True, prob: 0.999981164932251>
<pmid: 11095485, isPK: False, prob: 0.0012652206933125854>
<pmid: 11095450, isPK: False, prob: 0.0010903941001743078>
<pmid: 11094866, isPK: True, prob: 0.999995231628418>
<pmid: 11094580, isPK: True, prob: 0.9999910593032837>
<pmid: 11094382, isPK: True, prob: 0.9961625337600708>
<pmid: 11094309, isPK: True, prob: 0.9975883960723877>
<pmid: 11094056, isPK: False, prob: 0.0006293943733908236>
<pmid: 11093947, isPK: False, prob: 0.38847461342811584>
<pmid: 11093940, isPK: False, prob: 0.002485753735527396>
<pmid: 11093920, isPK: False, prob: 0.0012494648108258843>
<pmid: 11093837, isPK: True, prob: 0.9991772770881653>
<pmid: 11092987, isPK: False, prob: 0.0006726732826791704>
<pmid: 11092891, isPK: False, prob: 0.000933575676754117>
<pmid: 11092573, isPK: False, prob: 0.0008009494631551206>
<pmid: 11092569, isPK: False, prob: 0.001207347260788083>
<pmid: 11092563, isPK: False, prob: 0.0013862836640328169>
<pmid: 11092562, isPK: False, prob: 0.0015367080923169851>
<pmid: 11092561, isPK: False, prob: 0.0015339450910687447>
<pmid: 11091112, isPK: False, prob: 0.0010177836520597339>
<pmid: 11091110, isPK: True, prob: 0.9993839263916016>
<pmid: 11091109, isPK: True, prob: 0.9999916553497314>
<pmid: 11091107, isPK: True, prob: 0.9998743534088135>
<pmid: 11091106, isPK: True, prob: 0.9776506423950195>
<pmid: 11091105, isPK: True, prob: 0.9999945163726807>
<pmid: 11091093, isPK: False, prob: 0.000739537354093045>
<pmid: 11091088, isPK: False, prob: 0.0009865042520686984>
<pmid: 11090917, isPK: False, prob: 0.0008515931549482048>
<pmid: 11090134, isPK: False, prob: 0.0011253393022343516>
<pmid: 11090052, isPK: False, prob: 0.0010389388771727681>
<pmid: 11089035, isPK: True, prob: 0.9999920129776001>
<pmid: 11088051, isPK: False, prob: 0.0016196797369048>
<pmid: 11087858, isPK: False, prob: 0.0010397209553048015>
<pmid: 11087757, isPK: False, prob: 0.0009721209644339979>
<pmid: 11087667, isPK: False, prob: 0.0009079259471036494>
<pmid: 11087565, isPK: False, prob: 0.001028611557558179>
<pmid: 11087435, isPK: False, prob: 0.0008593745878897607>
<pmid: 11087373, isPK: False, prob: 0.004382644779980183>
<pmid: 11087236, isPK: False, prob: 0.0008928431198000908>
<pmid: 11087045, isPK: False, prob: 0.0016553954919800162>
<pmid: 11087041, isPK: False, prob: 0.000992471701465547>
<pmid: 11086999, isPK: False, prob: 0.0011078717652708292>
<pmid: 11086966, isPK: True, prob: 0.9985581040382385>
<pmid: 11086963, isPK: False, prob: 0.04845362901687622>
<pmid: 11086962, isPK: False, prob: 0.004711768124252558>
<pmid: 11086961, isPK: False, prob: 0.0016439014580100775>
<pmid: 11086960, isPK: False, prob: 0.003543234197422862>
<pmid: 11086959, isPK: True, prob: 0.9990912675857544>
<pmid: 11086958, isPK: True, prob: 0.9980173110961914>
<pmid: 11086780, isPK: False, prob: 0.0015151269035413861>
<pmid: 11086778, isPK: True, prob: 0.999976396560669>
<pmid: 11086333, isPK: False, prob: 0.00083816988626495>
<pmid: 11085972, isPK: False, prob: 0.002113481517881155>
<pmid: 11085898, isPK: False, prob: 0.0010732413502410054>
<pmid: 11085889, isPK: False, prob: 0.0007665572338737547>
<pmid: 11085870, isPK: False, prob: 0.0008607234922237694>
<pmid: 11085656, isPK: False, prob: 0.0007570596062578261>
<pmid: 11085617, isPK: False, prob: 0.006164207588881254>
<pmid: 11085528, isPK: False, prob: 0.0009247044799849391>
<pmid: 11085502, isPK: False, prob: 0.0008080408442765474>
<pmid: 11085426, isPK: True, prob: 0.9999926090240479>
<pmid: 11085367, isPK: True, prob: 0.9999936819076538>
<pmid: 11085365, isPK: True, prob: 0.9999938011169434>
<pmid: 11085364, isPK: True, prob: 0.9999911785125732>
<pmid: 11085362, isPK: True, prob: 0.9999945163726807>
<pmid: 11085321, isPK: False, prob: 0.0027167005464434624>
<pmid: 11085319, isPK: False, prob: 0.0011572823859751225>
<pmid: 11085310, isPK: False, prob: 0.0012088784715160728>
<pmid: 11085263, isPK: False, prob: 0.0013209825847297907>
<pmid: 11085244, isPK: True, prob: 0.9999940395355225>
<pmid: 11085202, isPK: False, prob: 0.0011325986124575138>
<pmid: 11085199, isPK: True, prob: 0.9999909400939941>
